編號,設立別,幼兒園名稱,園長,幼兒園電話,幼兒園住址,LATITUDE,LONGITUDE
19,私人,嘉義市私立小魚幼兒園,吳千宜,(05)2710505,[600]嘉義市東區中庄里1鄰台斗街41號,23.4903394,120.4514408
20,私人,嘉義市私立慈幼幼兒園,林佳蓉,(05)2760272,[600]嘉義市東區新店里19鄰林森東路269巷56號,23.4920161,120.4661353
21,私人,嘉義市私立貝萊登幼兒園,李琇如,(05)2752988,[600]嘉義市東區後庄里8鄰林森東路539號,23.4921996,120.4754603
22,財團法人附設,財團法人天主教會嘉義教區附設嘉義市私立仁愛幼兒園,蔡美蘭,(05)2769424,[600]嘉義市東區後庄里8鄰林森東路635號,23.492613,120.477584
23,私人,嘉義市私立林肯幼兒園,洪淑勁,(05)2741111,[600]嘉義市東區太平里19鄰維新路191號,23.4860247,120.4579812
24,私人,嘉義市私立雨果幼兒園,侯怡妏,(05)2755595,[600]嘉義市東區太平里5鄰博東路238號,23.490941,120.457138
25,私人,嘉義市私立中國娃娃幼兒園,陳育君,(05)2757697,[600]嘉義市東區太平里1鄰博東路152巷32號,23.4904943,120.4618287
26,私人,嘉義市私立東之寶幼兒園,林秋惠,(05)2763077,[600]嘉義市東區盧厝里10鄰大雅路一段368巷72號,23.4807558,120.5031823
27,大專/大學附設(屬),私立崇仁醫護管理專科學校附設嘉義市幼兒園,鄭麗佳,(05)2765428,[600]嘉義市東區盧厝里4鄰紅毛埤217號,23.478996,120.4826403
28,私人,嘉義市私立種子幼兒園,王郅人,(05)2719229,[600]嘉義市東區長竹里10鄰大雅路二段386巷18號,23.478397,120.473888
29,其他,國立嘉義高級家事職業學校附設嘉義市私立幼兒園,劉秋妹,(05)2278169,[600]嘉義市東區新開里15鄰體育路7號,23.4744574,120.4615824
30,高中(職)附設(屬),私立東吳高級工業家事職業學校附設嘉義市幼兒園,黃柏瑜,(05)2228007,[600]嘉義市東區新開里18鄰宣信街252號,23.4688122,120.4604129
31,私人,嘉義市私立嘉南幼兒園,陳幸君,(05)2277451,[600]嘉義市東區安寮里14鄰吳鳳南路319號,23.465123,120.455019
32,私人,嘉義市私立天欣幼兒園,曾玉妃,(05)2222558,[600]嘉義市東區安寮里16鄰吳鳳南路547巷2號,23.4605907,120.4577538
33,私人,嘉義市私立和睦幼兒園,鍾沛芳,(05)2393346,[600]嘉義市東區興村里6鄰過溪91號,23.452867,120.456508
34,財團法人附設,財團法人台灣聖公會附設嘉義市私立聖彼得幼兒園,劉華貞,(05)2272653,[600]嘉義市東區過溝里11鄰興中街8號,23.4749263,120.4517817
35,私人,嘉義市私立恩光幼兒園,李雯苑,(05)2283166,[600]嘉義市東區民族里10鄰光華路39號,23.4774395,120.4541772
36,私人,嘉義市私立優肯幼兒園,林秀娜,(05)2716600,[600]嘉義市東區朝陽里1鄰啟明路3號、垂楊路2之1號,23.4749847,120.4615225
37,財團法人附設,財團法人嘉義市私立榮光幼兒園,黃惠芳,(05)2222717,[600]嘉義市東區東興里10鄰共和路236號,23.4807785,120.455377
38,私人,嘉義市私立中正幼兒園,李細儀,(05)2785534,[600]嘉義市東區東興里9鄰中山路123號,23.4819509,120.4572179
39,私人,嘉義市私立育志幼兒園,謝悉柔,(05)2780271,[600]嘉義市東區北門里13鄰長榮街142號,23.4840639,120.4539507
40,私人,嘉義市私立諾爾堡幼兒園,姚雅雯,(05)2759951,[600]嘉義市東區文雅里14鄰大雅路一段858巷36號,23.4821658,120.4847058
41,財團法人附設,財團法人天主教聖言會附設嘉義市私立輔仁幼兒園,邵漢花,(05)2287228,[600]嘉義市東區安業里13鄰吳鳳南路268號,23.467008,120.4546887
42,私人,嘉義市私立銘華幼兒園,楊凱庭?,(05)2397602,[600]嘉義市東區興仁里6鄰軍輝路100號1-3樓,23.4562322,120.4624362
43,私人,嘉義市私立忠樺幼兒園,陳怡樺,(05)2328889,[600]嘉義市西區湖邊里14鄰松江三街52號,23.4929142,120.4434729
44,私人,嘉義市私立幼華幼兒園,林美玲,(05)2328958,[600]嘉義市西區竹圍里6鄰友忠路721號,23.4837776,120.4392978
45,私人,嘉義市私立教之道幼兒園,黃國清,(05)2814618,[600]嘉義市西區竹圍里3鄰遠東街128號,23.4847714,120.4358233
46,財團法人辦理,財團法人伊甸社會福利基金會附設嘉義市私立小橘子非營利幼兒園(嘉義市政府委託辦理),林其蘭,(05)2910270,[600]嘉義市西區竹圍里23鄰德安路10號,23.4841348,120.4323651
47,私人,嘉義市私立綠光森林幼兒園,王銘霞,(05)2372969,[600]嘉義市西區北湖里15鄰北社尾674之5號,23.4906456,120.422488
48,私人,嘉義市私立小狀元幼兒園,林秀香,(05)2831252,[600]嘉義市西區西平里8鄰信義路83巷21號,23.4744717,120.4343865
49,私人,嘉義市私立伯士鹿幼兒園,黃雅鈴,(05)2837700,[600]嘉義市西區西平里17鄰世賢路二段361號,23.471025,120.422342
50,財團法人附設,財團法人福智文教基金會附設嘉義市私立妙慧幼兒園,簡寶蓮,(05)2854106,[600]嘉義市西區磚窯里13鄰大華路150號,23.4742874,120.4246797
51,私人,嘉義市私立優上美幼兒園,陳慈玲,(05)2863219,[600]嘉義市西區新西里11鄰上海路266號,23.4704029,120.4365103
52,私人,嘉義市私立新向陽幼兒園,何怡慧,(05)2860812,[600]嘉義市西區垂楊里10鄰新建街18.20號,23.468744,120.4387723
53,私人,嘉義市私立佳寶幼兒園,李彥樺,(05)2859515,[600]嘉義市西區車店里11鄰新建街95巷12號,23.4701453,120.4375138
54,私人,嘉義市私立百合幼兒園,陳淑玟,(05)2864747,[600]嘉義市西區車店里14鄰蘭州四街89號,23.4667907,120.430563
55,私人,嘉義市私立想像幼兒園,何依霓,(05)2837939,[600]嘉義市西區福民里15鄰世賢路三段401號,23.4617428,120.4366673
56,私人,嘉義市私立智群幼兒園,湯雅婷,(05)2852076,[600]嘉義市西區福民里13鄰徐州三街72號,23.4666711,120.436892
57,私人,嘉義市私立愛兒幼兒園,李淑愛,(05)2355814,[600]嘉義市西區福民里19鄰重慶路307號,23.4626387,120.4317628
58,私人,嘉義市私立信義幼兒園,李育琳,(05)2353693,[600]嘉義市西區福民里9鄰漢口路163號,23.4650275,120.4328308
59,私人,嘉義市私立大能力幼兒園,江芳美,(05)2369906,[600]嘉義市西區美源里19鄰仁愛路142號,23.4663515,120.4428757
60,私人,嘉義市私立育光幼兒園,蕭家倫,(05)2221851,[600]嘉義市西區永和里4鄰康樂街360號,23.474036,120.4386413
61,私人,嘉義市私立磐石幼兒園,邱淑敏,(05)2243725,[600]嘉義市西區文化里9鄰國華街138號,23.477941,120.4487161
62,財團法人附設,財團法人中華基督教嘉義浸信會附設嘉義市私立慈光幼兒園,王運華,(05)2286731,[600]嘉義市西區文化里9鄰文化路81號,23.4776833,120.4497397
63,財團法人附設,財團法人天主教會嘉義教區附設嘉義市私立正義幼兒園,王靜怡,(05)2224185,[600]嘉義市西區西榮里1鄰民生北路92號,23.4762044,120.4466959
64,私人,嘉義市私立孩子國幼兒園,張碧紐,(05)2334249,[600]嘉義市西區福安里22鄰四維路287號,23.4868715,120.4272982
65,私人,嘉義市私立愛兒堡幼兒園,蔡淑梅,(05)2339888,[600]嘉義市西區福安里10鄰世賢路二段67號,23.4825293,120.4221293
66,私人,嘉義市私立精英幼兒園,何秋香,(05)2330001,[600]嘉義市西區福安里18鄰泰瑞四街3號,23.4840193,120.4268946
67,私人,嘉義市私立美的幼兒園,,(05)2315951,[600]嘉義市西區保福里4鄰八德路160號,23.487044,120.4304274
68,私人,嘉義市私立陽光幼兒園,蘇東波,(05)2340059,[600]嘉義市西區保生里5鄰自由路211號,23.4884302,120.4376324
69,私人,嘉義市私立小叮噹幼兒園,王淑珍,(05)2335560,[600]嘉義市西區保生里12鄰通化二街53號,23.4918203,120.4343088
70,私人,嘉義市私立吉尼爾幼兒園,林淑女,(05)2813272,[600]嘉義市西區北新里5鄰世賢路一段578號,23.4983655,120.427182
71,私人,嘉義市私立北興幼兒園,許雪謹,(05)2326131,[600]嘉義市西區北新里5鄰海口寮路119號,23.4978921,120.4315985
