項次,機構類別,機構名稱,機構代碼,地址,負責人,電話,LATITUDE,LONGITUDE
72,西醫診所,鄭婦產科診所,3522020170,嘉義市西區康莊里西榮街１８９號,鄭嘉哲,05 2222836,23.4746191,120.4456018
73,西醫診所,嘉良診所,3522020189,嘉義市西區學圃里忠義街４５號,劉戊良,05 2222827,23.475108,120.447277
74,西醫診所,春安診所,3522020198,嘉義市西區光路里民生南路432號,江金水,05 2854146,23.461256,120.443631
75,西醫診所,鴻安診所,3522020330,嘉義市西區書院里延平街４０１之１號,蔡秀雄,05 2271318,23.4761512,120.4439682
76,西醫診所,張外科皮膚科診所,3522020358,嘉義市西區功科里民生北路220號,張崑南,05 2233629,23.479508,120.446334
77,西醫診所,羅眼科診所,3522020376,嘉義市西區民族路８０４號,羅正義,05 2242288,23.4751837,120.4405241
78,西醫診所,張文輝診所,3522020438,嘉義市西區林森西路４９０號,張文輝,05-2238819,23.4804801,120.4432541
79,西醫診所,柳內兒科診所,3522020536,嘉義市西區國華街４１４之１號,柳文化,05 2325986,23.4876598,120.4468363
80,西醫診所,林海南診所,3522020607,嘉義市西區康樂街１５７號,林海南,05 2273185,23.4745473,120.4450645
81,西醫診所,洪內兒科診所,3522020616,嘉義市西區民生里民生北路２９３號,洪肇隆,05 2247123,23.4824147,120.4457922
82,西醫診所,榮芳內兒科診所,3522020689,嘉義市西區仁愛路４４６號,余俊典,05 2224712,23.4751391,120.4422158
83,西醫診所,吳眼科診所,3522020698,嘉義市西區中山路４１８號,吳明彰,05 2244695,23.4794964,120.4451087
84,西醫診所,德星耳鼻喉科診所,3522020723,嘉義市西區民權路３７４號,陳德洽,05 2236025,23.4821893,120.4484014
85,西醫診所,顏耳鼻喉科診所,3522020750,嘉義市西區新榮路１９９號,顏懿成,05 2278795,23.4759593,120.4444257
86,西醫診所,呂國鎮皮膚科診所,3522020812,嘉義市西區民生里民生北路259號1樓,呂國鎮,05 2221459,23.4812206,120.4459633
87,西醫診所,佳寶婦產科診所,3522021122,嘉義市西區中庸里垂楊路４６６號,沈國柱,05 2252963,23.4737503,120.4482203
88,西醫診所,陳眼科診所,3522021195,嘉義市西區民生里民生北路２７９號,陳俊賢,05 2290013,23.4818133,120.4459441
89,西醫診所,江啟生診所,3522021211,嘉義市西區車店里興業西路３８３號,江啟生,05 2858357,23.4675049,120.4365235
90,西醫診所,林俊鵬診所,3522021220,嘉義市西區新厝里松江一街２１號,林俊鵬,05 2322048,23.4926398,120.4424827
91,西醫診所,好生診所,3522021266,嘉義市西區國華街４１６號,蔡燿州,05 2324630,23.4883102,120.4466855
92,西醫診所,鍾易晉耳鼻喉科診所,3522021275,嘉義市西區新民路７５８號１樓,鍾易晉,05 2856506,23.4695394,120.4400818
93,西醫診所,王伯智皮膚科診所,3522021293,嘉義市西區林森西路500號1樓,王伯智,05-2276227,23.4803963,120.4431782
94,西醫診所,魏眼科診所,3522021300,嘉義市西區民權路３７８號,魏港生,05 2237889,23.4821763,120.4483338
95,西醫診所,沈小兒科診所,3522021328,嘉義市西區民權路３８０號,沈志峰,05 2250170,23.4821883,120.4483049
96,西醫診所,佑仁診所,3522021337,嘉義市西區友愛路１９０號,洪怡仁,05 2335906,23.480572,120.434186
97,西醫診所,陳明煌診所,3522021364,嘉義市西區北興街４４２號,陳明煌,05 2337036,23.4875735,120.4349231
98,西醫診所,黃彬診所,3522021435,嘉義市西區慶昌里博愛路一段４１１之３號１樓,黃彬,05 2333380,23.4842294,120.4423867
99,西醫診所,張百欽家庭醫學科診所,3522021453,嘉義市西區湖邊里博愛路一段203號,張百欽,05 2339555,23.4886882,120.4457995
100,西醫診所,李英徽耳鼻喉科診所,3522021588,嘉義市西區民生南路133號1樓,李英徽,05 2255610,23.4703401,120.4473167
101,西醫診所,曾良達診所,3522021604,嘉義市西區八德路３３８號,曾良達,05 2333928,23.4918835,120.4301732
102,西醫診所,王仁樟皮膚科診所,3522021622,嘉義市西區民生南路９號,王仁樟,05 2293829,23.4732155,120.4469005
103,西醫診所,黃敏宏皮膚科診所,3522021668,嘉義市西區新民路９３８號,黃敏宏,05-2287079,23.4746559,120.4395075
104,西醫診所,陳霖生內科診所,3522021686,嘉義市西區民生北路238號1樓,陳霖生,05 2291675,23.4802566,120.4462636
105,西醫診所,育全診所,3522021800,嘉義市西區友愛路１１５號,呂季全,05 2343758,23.4794666,120.4339756
106,西醫診所,李建忠眼科診所,3522021819,嘉義市西區新榮路１７８１８０號,李建忠,05 2222877,23.478166,120.444398
107,西醫診所,民族診所,3522021882,嘉義市西區民族路７０１號1- 4樓,張瓊文,05 2276008,23.4753791,120.4427588
108,西醫診所,洪瑞禧診所,3522022914,嘉義市西區林森西路五五二號,洪瑞禧,2293625,23.4797073,120.4425585
109,西醫診所,太和診所,3522022950,嘉義市西區新榮路七五號一樓,廖春癸,05-2222856,23.4716622,120.444813
110,西醫診所,邱碩堯耳鼻喉科診所,3522022969,嘉義市西區垂楊路五OO號,邱碩堯,05-2273115,23.4737839,120.447459
111,西醫診所,蔡湯鎮眼科診所,3522023028,嘉義市西區新民路653號,蔡湯鎮,05-2368019,23.4670236,120.4400235
112,西醫診所,正安診所,3522023037,嘉義市西區興業西路342號1、３樓,蔡政勳,25-2865278,23.4677932,120.4379325
113,西醫診所,羅銓中診所,3522023064,嘉義市西區民生北路89號地下室,羅銓中,05-2222979,23.4782558,120.4463478
114,西醫診所,戴昌隆皮膚科診所,3522023144,嘉義市西區博愛路二段277號,戴昌隆,05 2339307,23.4787817,120.4373657
115,西醫診所,安生婦產科診所,3522023162,嘉義市西區中正路565號,廖璧玉,05-2223377,23.4787472,120.4454931
116,西醫診所,王國哲診所,3522023224,嘉義市西區博愛路二段三五九號一二樓,王國哲,2332883,23.4759653,120.4351786
117,西醫診所,極緻整形外科診所,3522023260,嘉義市西區新民路618之2號一樓,陳善運,05-2852757,23.466013,120.440546
118,西醫診所,盈安診所,3522023313,嘉義市西區北興街二四五之三號,陳盈兆,05-2318472,23.4854688,120.4383939
119,西醫診所,許維倫診所,3522023322,嘉義市西區民生南路四三八號一樓,許維倫,05-2868895,23.46107,120.443526
120,西醫診所,郭育祥診所,3522023377,嘉義市西區博愛路二段240號一樓,郭育祥,05-2338855,23.4802564,120.438442
121,西醫診所,吳耳鼻喉科診所,3522023386,嘉義市西區中山路406號,吳賢良,05 2222258,23.4797037,120.4453511
122,西醫診所,宏元家庭醫學科診所,3522023411,嘉義市西區國華街236號1樓,顏三元,05-2165555,23.4859628,120.4470717
123,西醫診所,安泰眼科診所,3522023439,嘉義市西區仁愛路482號1、2樓,邱靖甯,05-2282278,23.4666367,120.4406522
124,西醫診所,許銘瑞診所,3522023475,嘉義市西區新民路936號1、2樓,許銘瑞,05-2227784,23.4746187,120.4395035
125,西醫診所,德祐眼科診所,3522023519,嘉義市西區仁愛路482號1、2樓,周師宇,2282278,23.4666367,120.4406522
126,西醫診所,慎諭婦產科診所,3522023528,嘉義市西區民生南路118-7號、118-7號2樓,辜勉譯,2253652,23.4569659,120.4410995
127,西醫診所,賴大川診所,3522021033,嘉義市西區慶昇里西榮街２４１號,賴大川,05 2234511,23.4800033,120.4438195
128,西醫診所,程忠誠診所,3522021042,嘉義市西區新榮路７０號,程忠誠,05 2293068,23.4746855,120.4446995
129,西醫診所,蔣天來診所,3522021168,嘉義市西區國華街１７２號,蔣天來,05 2223350,23.478921,120.4485626
130,西醫診所,弘仁診所,3522021177,嘉義市西區功科里忠義街１０１號,方士祁,05 2226119,23.478839,120.447417
131,西醫診所,新民診所,3522021373,嘉義市西區新民路七０一．七０三號一.二樓,許博儒,05 2851179,23.4562558,120.4375213
132,西醫診所,紀裕庭診所,3522021382,嘉義市西區光路里民生南路４８０號,紀裕庭,05 2835123,23.460404,120.443442
133,西醫診所,侯瑞卿診所,3522021524,嘉義市西區福民里徐州六街５2.54號,侯瑞卿,05 2859659,23.4670132,120.438119
134,西醫診所,人義診所,3522022987,嘉義市西區南京路502號-2,李昭勳,05-2368083,23.4664173,120.435972
135,西醫診所,宏祐診所,3522023091,嘉義市西區友愛路二三五號,陳宏猷,05-2336332,23.4837547,120.4335226
136,西醫診所,崇安診所,3522023457,嘉義市西區竹圍四路72.72-1號,王六宜,05-2810729,23.4885229,120.4290072
137,西醫診所,張耿章診所,3522023564,嘉義市西區新建街2、4號1樓,張耿章,05-2851285,23.4683006,120.4388188
138,西醫診所,大恩整體自然醫學診所,3522023608,嘉義市西區林森西路200號1、2樓,羅大恩,05-2234829,23.4841862,120.4478673
139,西醫診所,六福診所,3522023626,嘉義市西區興業西路333號1樓,田文娟,2853300,23.4675902,120.4378179
140,西醫診所,鄭美蕊婦產科診所,3522023662,嘉義市西區民族路720號1樓,鄭美蕊,05-2293396,23.4755129,120.4429748
141,西醫診所,愛兒診所,3522023671,嘉義市西區民生南路45號1樓,林源隆,05-2238233,23.4592369,120.4423117
142,西醫診所,吉祥醫美耳鼻喉科診所,3522023699,嘉義市西區興業西路273號1樓,劉忠憲,2352516,23.4678714,120.4396826
143,西醫診所,大佳診所,3522023706,嘉義市西區新民路696號1樓,洪霈濃,2212345,23.468261,120.4402889
144,西醫診所,啟仁診所,3522023715,嘉義市西區中山路610號1樓,林嘉麟,2257959,23.4769018,120.4401477
145,西醫診所,洪培凱耳鼻喉科診所,3522023733,嘉義市西區新民路632號1樓,洪培凱,05-2866689,23.4663477,120.4402949
146,西醫診所,施穎敏診所,3522023788,嘉義市西區興業西路77號,施穎敏,2840270,23.4683122,120.4446396
147,西醫診所,新眼光眼科診所,3522023831,嘉義市西區興業西路134號1樓,洪豪良,05-2838989,23.4684692,120.442252
148,西醫診所,承鴻診所,3522023840,嘉義市西區南京路500號1樓,林伯峰,05-2865669,23.4663702,120.436105
149,西醫診所,周安良診所,3522023868,嘉義市西區興業西路28號1樓,周安良,05-2230527,23.468705,120.4455321
150,西醫診所,博愛診所,3522023877,嘉義市西區興業西路136、138號1樓,王博瀚,2866600,23.4684563,120.4421168
151,西醫診所,玉山診所,3522023886,嘉義市西區民生南路479號1樓,黃譯輝,05-2361213,23.4579242,120.4435696
152,西醫診所,黃思超小兒科診所,3522023902,嘉義市西區民族路632號1樓,黃思超,05-2163232,23.4755961,120.445081
153,西醫診所,泓韋診所,3522023939,嘉義市西區上海路233號1樓,謝鏡泓,05-2838811,23.4676475,120.433594
154,西醫診所,真善渼診所,3522023966,嘉義市西區義昌里15鄰民族路642號,王家麟,2230505,23.4756,120.444865
155,西醫診所,長椿耳鼻喉科診所,3522023993,嘉義市西區致遠里興業西路86號,林長椿,05-2289981,23.4685555,120.4442356
156,西醫診所,吳南逸診所,3522024016,嘉義市西區翠岱里興業西路122-7號1樓,吳南逸,05-2232388,23.4682902,120.4433647
157,西醫診所,丞品內科診所,3522024025,嘉義市西區興達路102號嘉義市興達路102號,趙亞孟,2331182,23.4849588,120.4288762
158,西醫診所,安馨嘉義內科診所,3522024043,嘉義市西區友愛路239號1、2樓,吳孟泰,2812525,23.4839171,120.4335004
159,西醫診所,巴黎雅診所,3522024052,嘉義市西區興業西路128號1樓,陳聖明,2865555,23.4682522,120.4429646
160,西醫診所,明家眼科診所,3522024061,嘉義市西區仁愛路482號2樓,何宗諭,2282278,23.4762474,120.4422531
161,西醫診所,永安診所,3522024070,嘉義市西區北興街406號,盧重均,2320877,23.4868391,120.4362363
162,西醫診所,嘉祐耳鼻喉科診所,3522024089,嘉義市西區興業西路156號,趙子彥,2350860,23.4683269,120.4416358
163,西醫診所,開心診所,3522024098,嘉義市西區玉山路182號,呂俊忠,2860208.093,23.4722938,120.4266417
164,西醫診所,大田耳鼻喉科診所,3522024132,嘉義市西區嘉義市西區民生南路684號,李承?,,23.4560922,120.4434575
165,西醫診所,陳政康診所,3522024141,嘉義市西區興業西路36號,陳政康,05-2714002,23.4686366,120.4450788
166,西醫診所,保安診所,3522024169,嘉義市西區新民路852號1樓,王俊凱,05-2862219,23.4718629,120.4398724
167,西醫診所,中興耳鼻喉科診所,3522024187,嘉義市西區中興路266號,林建宏,05-2321088,23.4823874,120.4326364
168,西醫診所,祐明眼科診所,3522024196,嘉義市西區友愛路153號,杜志強,05-2333310,23.4804656,120.4338604
169,西醫診所,仁愛神經內科診所,3522024203,嘉義市西區仁愛路355號,施信安,05-2253700,23.4750019,120.4422096
170,西醫診所,家馨診所,3522024212,嘉義市西區民族路732號,杜興孟,05-2251589,23.4754591,120.4425212
171,西醫診所,陳伯卿眼科診所,3522024221,嘉義市西區博愛路二段66號,陳伯卿,05-2327070,23.482925,120.4407588
172,西醫診所,民權診所,3522024230,嘉義市西區嘉義市民權路385號1樓,朱冠宇,05-2252099,23.482068,120.4487063
173,西醫診所,信合美診所,3522024249,嘉義市西區興業西路87、89號,謝俊雄,05-2867272,23.4682822,120.444377
174,西醫診所,仁弘診所,3522024258,嘉義市西區文化路603號1樓,張乃仁,05-2812580,23.4937189,120.4442278
175,西醫診所,嘉義市西區衛生所,2322020013,嘉義市西區福全里德明路１號,楊百文,05 2223640,23.479976,120.431072
176,西醫診所,東門王耳鼻喉科診所,3522013120,嘉義市東區公明路131號1樓,王碩毅,05-2276563,23.480228,120.4562541
177,西醫診所,立文小兒科診所,3522013139,嘉義市東區新生路782號1、2樓,邱麗雯,05-2766286,23.4960356,120.4535001
178,西醫診所,許永福小兒科診所,3522013166,嘉義市東區垂楊路46號,許永福,05-2783058,23.4749816,120.4599363
179,西醫診所,台大風尚皮膚科診所,3522013193,嘉義市東區新生路612號1樓,陳俊成,05-2711711,23.4930182,120.457569
180,西醫診所,和平眼科診所,3522013200,嘉義市東區和平路325號,林宛靜,2255561,23.4823911,120.4560517
181,西醫診所,蔡金火診所,3522010030,嘉義市東區吳鳳北路３５１號,蔡金火,05 2786788,23.4835171,120.4523487
182,西醫診所,仁和診所,3522010398,嘉義市東區吳鳳北路４２３號,陳坤生,05 2782762,23.485063,120.4520709
183,西醫診所,旭豐診所,3522011144,嘉義市東區吳鳳南路5 8 3號,蔡勝義,05 2302108,23.4718048,120.4545182
184,西醫診所,文山診所,3522011466,嘉義市東區府路里國華街１７１號,葉紹忠,05 2293118,23.476871,120.448617
185,西醫診所,博文診所,3522011475,嘉義市東區台林街１０８之２號,吳博文,05 2758866,23.4952239,120.4548018
186,西醫診所,張耿源診所,3522011528,嘉義市東區光華路80號,張耿源,05 2279969,23.4782242,120.4529912
187,西醫診所,趙善楷耳鼻喉科診所,3522011555,嘉義市東區新生路２３０號,趙善楷,05 2759955,23.4841702,120.4609265
188,西醫診所,良如診所,3522011591,嘉義市東區新生路782號1、2樓,游澤逸,05  2779463,23.4960356,120.4535001
189,西醫診所,傅林診所,3522013184,嘉義市東區長竹里金龍街8號1樓,傅玉良,05-2781900,23.4780164,120.472285
190,西醫診所,丁效曾整形外科診所,3522013228,嘉義市東區中山路229號、231號1、2樓,丁效曾,2222188,23.4809309,120.4518618
191,西醫診所,邱晉陽診所,3522013237,嘉義市東區吳鳳北路280號,邱晉陽,2751973,23.4832512,120.4524932
192,西醫診所,羅大德診所,3522013264,嘉義市東區新生路588號1、2樓,羅大德,2788297,23.492494,120.457918
193,西醫診所,嘉亮眼科診所,3522013273,嘉義市東區中山路236號1-3樓,盧武聰,2276969,23.480546,120.4509449
194,西醫診所,向光眼科診所,3522013282,嘉義市東區民族路114號1樓,吳經富,2788358,23.4768617,120.4588397
195,西醫診所,楊澍青診所,3522013291,嘉義市東區民權路110號1樓,楊澍青,05-2776001,23.4836667,120.4582269
196,西醫診所,新恩診所,3522013308,嘉義市東區新生路357號1樓；359號1、2樓,曾愉桓,05-2777937,23.4844569,120.4607259
197,西醫診所,滿溢小兒科診所,3522013317,嘉義市東區垂楊路104號1樓,何成宜,05-2767757,23.4745127,120.4583527
198,西醫診所,軍輝耳鼻喉科診所,3522013344,嘉義市東區軍輝路198號1樓,李錦昇,05-2301616,23.455633,120.459801
199,西醫診所,維欣醫美診所,3522013353,嘉義市東區太平里民權路108號2樓,林紋甄,05-2715789,23.485467,120.458045
200,西醫診所,賴瑪莉診所,3522013362,嘉義市東區新生路313號1樓,賴瑪莉,05-2741234,23.4831125,120.4608862
201,西醫診所,黃靖修內科診所,3522013371,嘉義市東區吳鳳北路389號1樓,黃靖修,05-2776108,23.4837727,120.4523088
202,西醫診所,劉怡慧皮膚科診所,3522013380,嘉義市東區吳鳳南路577號1樓,劉怡慧,05-2393388,23.4681773,120.441802
203,西醫診所,林育興耳鼻喉科診所,3522013399,嘉義市東區華南里民族路200號,林育興,05-2288568,23.4766974,120.4566926
204,西醫診所,福康診所,3522013406,嘉義市東區頂庄里新生路683號1、2樓,甘宗本,05-2715688,23.494591,120.4562268
205,西醫診所,周裕軒身心醫學診所,3522013415,嘉義市東區民樂街141號1樓民樂街141號1樓,周裕軒,05-2229823,23.480682,120.454013
206,西醫診所,禾宜婦幼診所,3522013424,嘉義市東區林森西路95號嘉義市東區林森西路95號,呂政忠,2769449,23.4845372,120.4497376
207,西醫診所,廖學儒耳鼻喉科診所,3522013451,嘉義市東區中山路84號中山路84號,廖學儒,2779070,23.4823689,120.4595884
208,西醫診所,尚美整形外科診所,3522013479,嘉義市東區興中街145號1樓及2樓,楊文圭,,23.480741,120.450881
209,西醫診所,洪文泓診所,3522013488,嘉義市東區林森東路470巷6號,洪文泓,2766266,23.491458,120.469759
210,西醫診所,怡康診所,3522013497,嘉義市東區林森東路496號,徐焜彥,2770236,23.491987,120.470812
211,西醫診所,蕭正誠診所,3522013504,嘉義市東區公明路34號之4,蕭正誠,2788938,23.4809818,120.4610432
212,西醫診所,祐健診所,3522013513,嘉義市東區民族路268巷7號3樓,王豐治,2233438,23.4765609,120.4540228
213,西醫診所,昆德診所,3522013522,嘉義市東區林森東路287號,蘇振綸,05-2788750,23.490119,120.466435
214,西醫診所,和威診所,3522013531,嘉義市東區中正路112-2號,何威德,,23.479896,120.458262
215,西醫診所,興業耳鼻喉科診所,3522013540,嘉義市東區興業東路60號,蘇熙淵,05-2759591,23.4693898,120.4555612
216,西醫診所,玉貴人整形外科診所,3522013568,嘉義市東區民族路76-1號2樓,朱純慧,05-2775050,23.476916,120.459893
217,西醫診所,臺中榮民總醫院嘉義分院附設門診部,2622010013,嘉義市東區吳鳳北路35巷4號,林馥郁,05 2712145,23.4748946,120.4536059
218,西醫診所,侯耳鼻喉科診所,3522010012,嘉義市東區公明路３０１號,侯林明珠,05 2222893,23.4797864,120.4512734
219,西醫診所,江昇洸診所,3522010067,嘉義市東區民權路２７９之１號,江昇洸,05 2258717,23.4832428,120.4557176
220,西醫診所,德洋診所,3522010209,嘉義市東區民權路１９０之１號,曾滄洋,05 2784903,23.4833614,120.4554153
